Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Matches
Senne Lynen,be BEL,MF,Werder Bremen,26-054,1999,27,27,2301,25.6,0,0,0,0,0,0,8,0,0.8,0.8,0.5,1.3,7,76,27,0.00,0.05,Matches
Arne Maier,de GER,MF,Augsburg,26-096,1999,25,7,845,9.4,0,0,0,0,0,0,0,1,1.5,1.5,1.4,2.9,15,34,47,0.00,0.31,Matches
Jordy Makengo,fr FRA,DF,Freiburg,23-254,2001,14,2,312,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,7,10,17,0.00,0.04,Matches
Jarzinho Malanga,de GER,DF,Stuttgart,18-278,2006,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,Matches
Lennard Maloney,us USA,MF,Heidenheim,25-188,1999,11,10,760,8.4,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,1,14,0,0.00,0.04,Matches
Lennard Maloney,us USA,MF,Mainz 05,25-188,1999,3,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,Matches
Lukas Klostermann,de GER,DF,RB Leipzig,28-315,1996,24,16,1478,16.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,15,71,26,0.00,0.02,Matches
Magnus Knudsen,no NOR,MF,Holstein Kiel,23-303,2001,26,21,1653,18.4,0,1,1,0,0,0,7,0,0.7,0.7,1.3,2.0,15,49,23,0.05,0.11,Matches
Gregor Kobel,ch SUI,GK,Dortmund,27-129,1997,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,Matches
Marco Komenda,hr CRO,DF,Holstein Kiel,28-139,1996,19,17,1307,14.5,0,0,0,0,0,0,3,0,0.1,0.1,0.8,0.9,13,53,16,0.00,0.06,Matches
